fiscal_year,agency_name,payee_name,payee_zip,amount,purpose_of_payment_baltimore_county_only,mbe,agency_name_clean
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,STAPLES ADVANTAGE,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"STEWART,RUSSELL & MILD",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,TAI - TALENT ASSESSMEN,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,TALBOT CO PUBLIC SCHOO,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,TALBOT CO. PUBLIC SCHO,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,TATE ENGINEERING SYSTE,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"TAYLOR,GEORGE/KAREN -",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,TGM GROUP  LLC,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,THE HARBOUR SCHOOL,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,THE JEFFERSON SCHOOL,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"THOMAS,J T - BUS",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,TINA THOMPSON,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"TODD,DEBBIE - BUS",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"TOLLEY,SHIRLEY - BUS",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,TURF EQUIPMENT AND SUP,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,VERIZON,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,VERIZON WIRELESS,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,VITECH CONSULTING LLC,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,WASHINGTON GAS ENERGY,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,WASTE MANAGEMENT,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,WEBSTER REFRIGERATION,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"WEYER'S FLOOR SERVICE,",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,WGL ENERGY SERVICES,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"WGL ENERGY SYSTEMS, IN",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,WHITING-TURNER CONTRAC,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,WILL BROWN'S TRUCK REP,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,WILSON LANGUAGE TRAINI,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,XEROX CORPORATION,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Sysco Eastern MD,21851,351908.48,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,AERO Energy,21297,19185.79,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,"Apple, Inc",30384,107931,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Applied Technology Services,21220,27030.98,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Benedictine School,21660,33904.07,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Business Card (Bank of America),19886,190496.63,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,CAREFIRST BLUECROSS/BL,19178,3754805.23,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,"CBIZ & BSC GROUP, LLC",30384,49000,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Choptank Electric,21629,138859,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Christina  School District,19801,100329.9,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,City National Capital Finance,32801,141424.8,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,David Bramble,21620,83215.01,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,DE Nicholson Plumbing,21678,35817.3,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Delmarva Power,19101,86944.86,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Discovery Education,30374,94776.6,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,E & R Services Inc,20706,153951.46,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Educational Facilities Planning LLC,21409,28150.98,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Fair's LLC,21851,31640,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,FPC Distribution,21851,69282.38,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Game Time,35968,29998.05,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,"HyPoint Farms, Inc",19803,72833.48,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,James Schauber,21678,37143.28,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Kaplan,27023,27374.7,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,KCESPA,21620,31166.61,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Kent County Commissioners,21620,140548.19,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,"Kent County Commissioners, SOLAR",21620,96271.61,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Kent County Health Department,21620,410856.44,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,MABE Group Insurance Pool,21401,103264,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,MABE Workers Comp Self Insurance,21401,96109,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,MAGNUM ELECTRONICS,19901,39613.35,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Miller Flooring,19380,26081,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Noelker & Hull Assoc.,17201,35218.26,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Office Depot,45263,31885.28,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Paradee Gas Co,19901,46995.14,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,PK Law,21661,89940.64,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Power School Group LLC,94139,65563.18,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Queen Anne County Health,21617,29789.99,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Saw Mill Creek Construction & Prop Mgmt,21678,62225,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Security Benefits Group,66675,171133.69,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Shorehaven Inc,21921,188648.93,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Soliant Health,60055,42705,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Specialized Education of DE,08102,63994,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Specialized Education of MD,08103,385906,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Standard Insurance,97228,43021.65,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Talent Assessment Inc,32247,26670.6,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Urban Harvest Partnership,19143,29032.5,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,VARIABLE ANNUITY LIFE INS,75303,154664.62,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Verizon,8650,35969.03,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Verizon Wireless,18002,150342.36,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Waste Management of De,19101,39899.44,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Wells Fargo Vendor Finance,19176,102554,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,WGL Energy Services,22182,157271.2,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Wilfre Co,21830,38178,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,XEROX CORPORATION,19182,97878.83,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,MARYLAND UNEMPLOYMENT INSURANCE,21203-0084,25062.8,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,SIGNATURE PUBLIC FUNDING CORP.,07101-4549,26483.16,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,EDUCATION ASSOCIATES,40223,27816,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,BB&T,28258-0060,28522.06,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,TONY WAYNE BOWSER,21625,29250,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,HILARY SPENCE,21601,29276.17,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,"DONALD LEE GOWE, JR.",21663,29340.74,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,AMERICAN DESIGN ASSOCIATES,21234,30158.92,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,APPLE COMPUTER,30384-1877,30766.45,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,CENTER FOR LIFELONG LEARNING,07869,30825,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,ENOME INC,94401,31356.5,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,"WASTE MANAGEMENT OF DELAWARE, INC.",19101-3648,31806.63,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,SARAH LOUISE WRIGHT,21629,31905,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,"CUMBERLAND THERAPY SERVICES, LLC",60197,32573.62,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,BELL TECHLOGIX INC,19182-3342,32696.71,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,"PROJECT LEAD THE WAY, INC",46240,33394.27,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,SPURRY'S TIRE SERVICE INC,21601,34397.83,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,PERFORMANCE MATTERS LLC,75320-5748,34936.73,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,"VITECH CONSULTING SERVICES, INC",21629,36425.19,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,"FILEWAVE (USA), INC.",46207,36426,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,NEW DIRECTION SOLUTIONS LLC,60055-4430,36844.5,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,"PACIFIC EDUCATIONAL GROUP, INC.",94114,37465,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,"R.E. MICHEL COMPANY, INC.",21203,37701.21,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,JONI KOLAKOWSKI,21625,38540,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,"NATIONAL AUTO FLEET GROUP",95076,40435,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,DELMARVA POWER,19101,41016.52,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,SALISBURY UNIVERSITY,21802,42858,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,"BAYLOR, INC",21802-2135,44994.87,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,"COMMUNICATION SOLUTIONS, INC.",21104,46637.5,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,"WGL ENERGY SERVICES, INC.",22102,47981.28,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,JANE M. WALLENHORST,21673,48000,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,"I.G. BURTON & CO., INC",19963,48048.44,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,"KURTZ BROS., INC.",16830-0392,49298.93,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,U.S. BANCORP GOVERNMENT LEASING AND,63195-9067,51593.77,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,DOBSON LAWN & LANDSCAPE INC,21663,52451.5,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,JEANINE K BRIZENDINE,21012,53683.39,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,"CBIZ MHM, LLC",30384-4489,57110,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,GREAT MINDS,20003,57479.71,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,VERIZON WIRELESS,18002-5505,58690.14,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,"AMERICAN TRUCK & BUS, INC.",21401,73453.04,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,"JOHNSON CONTROLS, INC.",75373,84135.86,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,"PESSIN KATZ LAW, P.A.",21204,85206.23,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,"YMCA OF TALBOT COUNTY, INC.",21601,85648.8,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,VISA,60197-6818,86370.95,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,VERNON JAMAR WILSON,21601,89475,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,VERIZON,08650-4830,93385.94,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,"TEST X, LLC",20855,96347.7,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,ARROW CHILD & FAMILY MINISTRIES,21234,97747.57,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,"MICROREPLAY, INC",01821,99569,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,"SEVERIN INTERMEDIATE HOLDINGS, LLC",94139-8408,101465.13,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,A. E. MOORE JANITORIAL INC.,19966,104534.01,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,"SUNBELT STAFFING, LLC",60055-4430,104839.53,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,MARYLAND STATE RETIREMENT,21202,110998.52,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,"L & S BUS SERVICE, INC.",21617,111470.08,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,AMAZON,30353-0958,112697.37,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,STANDARD INSURANCE COMPANY,45264-5311,117622.55,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,ANGEL MANAGEMENT INC,21114,119733.5,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,XEROX CORPORATION,19182-7598,128762.97,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,CHESAPEAKE MULTICULTURAL RESOURCE,21601,129663.99,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,M. KATHRYN SEIFERT,21804,142186.63,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,OFFICE DEPOT,45263-3301,142399.59,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,SOLIANT HEALTH,60055-4430,143726.11,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,MABE-GROUP INSURANCE POOL,21401,156687,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,SUNTRUST EQUIPMENT FINANCE &,21279-0194,160119.23,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,TALBOT COUNTY EDUCATION ASSOCI,NA,167347.82,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,"BCICAPITAL, INC.",32801,169367.19,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,"DISCOVERY EDUCATION, INC.",21279-1363,178540,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,AMN HEALTHCARE,30384-1939,180997.18,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,COMPHEALTH MEDICAL STAFFING,75397-2670,190529.9,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,CHOPTANK ELECTRIC COOPERATIVE,21629,223268.6,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,THE BENEDICTINE SCHOOL FOR,21660,241359.56,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,"SPECIALIZED EDUCATION OF MD, INC.",08103-1085,243186.62,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,CDW GOVERNMENT,60675-1515,288557.73,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,MABE-WORKERS COMP SELF-INS,21401,290752,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,MANSFIELD OIL COMPANY,75373-3706,437783.97,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,"APPLE COMPUTER, INC.",30384-1877,515132.49,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,MCGRAW-HILL GLOBAL EDUCATION LLC,19178-6167,717332.02,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,EASTON UTILITIES COMMISSION,21601,742068.74,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,MARYLAND STATE RETIREMENT,21202,1274284,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,"SODEXO, INC & AFFILIATES",21601,1762337.23,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,MARYLAND STATE RETIREMENT SYST,21202-1600,2298160.91,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,E. SHORE EDUC. CONSORT.,21202,3458086,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,"CAREFIRST OF MARYLAND, INC.",19178-9616,7167290.49,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,Advanced Medical Personnel Services,30374,86066.75,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,Aero Energy,17350,117138.07,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,Angel Trax,36305,72813.02,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,Apex Learning,98161,106875,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,BCI Capital Management,32801,114839.77,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,Benedictine School,21660,76625.43,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,Business Card,19886,188134.11,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,Capitol Boiler Works,22151,50687.81,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,Carefirst Bluecross/Blueshield,21279,3810131.21,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,CDW Government Inc.,60061,218145.22,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,Chester River Diesel,21668,39846.86,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,Choptank Electric,21629,136512,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,Christina School District,19801,106131,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,Cloverland Farms Dairy,02241,56442.85,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,"Crabtree, Rohrbaugh & Associates",17055,271199.27,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,Delmarva Power,19101,75267.26,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,Dreambox Learning,98004,67740,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,Echo Resource Development,21202,28000,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,"Educational Facilities Planning, LLC",21409,25699.42,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,"Enome, Inc.",94401,45630,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,FPC Distribution,21075,79758.49,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,Frontline Technologies,60631,30996.74,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,Heinemann,03802,26000,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,Kent County Commissioners,21620,101073.41,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,Kent County Health Department,21620,421502.32,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,"Labor First, LLC",08054,830333.59,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,Lexia Learning,01742,34952.38,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,MABE Group Insurance Pool,21401,106382,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,MABE-Workers' Comp Self-Insurance,21401,172031,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,Magnum Electronics,19901,106251.62,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,Maryland Retirement & Pension System,21202,50496.44,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,Maryland State Retirement,21202,1041125.47,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,Mayor & Council of Galena,21635,27463.35,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,"Morton Brothers, LLC",21651,43224.24,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,"Noelker & Hull Assoc., Inc.",17201,84141.94,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,Office Depot,21046,36446.39,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,P K Law,21204,60481.08,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,"Powerschool Group, LLC",18018,42236.57,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,"Raintree Services, Inc.",17407,1080520,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,Robin H. Landgraf,21625,57750,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,"SCH Transportation, LLC",21643,31500,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,Security Benefits Group,66675,104064.94,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,"Shorehaven, Inc.",21921,193577.28,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,Specialized Education,08103,472127.8,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2020,Kent County Public Schools,Standard Insurance Co.,97228,53728.42,NA,NA,KENT COUNTY PUBLIC SCHOOLS
