fiscal_year,agency_name,payee_name,payee_name_clean,payee_zip,amount,purpose_of_payment_baltimore_county_only,mbe,agency_name_clean
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,DELMARVA POWER,DELMARVA POWER,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,DEMBYS TRANSPORTATION,DEMBYS TRANSPORTATION,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,DISCOVERY EDUCATION,DISCOVERY EDUCATION,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,DONNA BRAMBLE,DONNA BRAMBLE,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,DORCHESTER CAREER & TE,DORCHESTER CAREER & TECH CENTER,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,DORCHESTER COUNTY HEAL,DORCHESTER COUNTY HEALTH DEPARTMENT,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"DUNNOCK,C E,TRANS INC",C. E. DUNNOCK TRANS INC - BUS,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,E&L TRANSPORT - BUS,E&L TRANSPORT - BUS,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"EAGLE TRANSPORTATION,I",EAGLE TRANSPORTATION INC - BUS,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,EMC PUBLISHING LLC,EMC PUBLISHING LLC,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"GARLAND/DBS, INC.","GARLAND/DBS, INC.",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,HOLT PAPER & CHEMICAL,HOLT PAPER & CHEMICAL,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"HOPKINS SALES CO., INC",HOPKINS SALES CO INC,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"HORD/COPLAN/MACHT, INC",HORD/COPLAN/MACHT INC,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"HOTTEN,SHIRLEY - BUS","HOTTEN,SHIRLEY - BUS",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,HOUGHTON MIFFLIN CO.,HOUGHTON MIFFLIN CO.,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,HY-POINT FARMS,HY-POINT FARMS,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"I.G. BURTON & CO., INC","I.G. BURTON & CO., INC",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,JAMES COLLINS,JAMES COLLINS,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"JAMESWAY,INC - BUS","JAMESWAY,INC - BUS",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"JOHNSON CONTROLS, INC.",JOHNSON CONTROLS INC,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,LAB-AIDS INCORPORATED,LAB-AIDS INCORPORATED,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,MABE,MABE,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,MABE GROUP INSURANCE P,MABE GROUP INSURANCE POOL,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,MABE-WORKERS COMP SELF,MABE WORKERS COMP SELF INSURANCE,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,MARYLAND COALITIION OF,MARYLAND COALITION OF FAMILIES,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,MARYLAND STATE RETIREM,MARYLAND STATE RETIREMENT,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"MCCOLLISTER,STEVEN H -","MCCOLLISTER, STEVEN H - BUS",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,MD CHILD SUPPORT ACCOU,MD CHILD SUPPORT ACCOUNT,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,MD HIGHER EDUCATION CO,MD HIGHER EDUCATION CO,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,MID SHORE COMMUNITY ME,MID SHORE COMMUNITY MEDIATION,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,MSEA,MSEA,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,MUNICIPAL UTILITIES CO,MUNICIPAL UTILITIES COMMISSION,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,NEOFUNDS BY NEOPOST,NEOFUNDS BY NEOPOST,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,NEWCOMB INC. - BUS,NEWCOMB INC. - BUS,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"NIXON SR., VINCENT W.","NIXON SR., VINCENT W.",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,NORTH DORCHESTER HIGH,NORTH DORCHESTER HIGH SCHOOL,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,PAVEMENT CORPORATION,PAVEMENT CORPORATION,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,PERFORMANCE MATTERS LL,PERFORMANCE MATTERS LLC,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"PESSIN KATZ LAW, P.A.","PESSIN KATZ LAW, P.A.",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,PINE HILL LANDSCAPING,PINE HILL LANDSCAPING,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,PIVOT PHYSICAL THERAPY,PIVOT PHYSICAL THERAPY,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,PORTER CAPITAL CORPORA,PORTER CAPITAL CORPORA,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,POWERSCHOOL GROUP LLC,POWERSCHOOL GROUP LLC,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"PROJECT LEAD THE WAY,",PROJECT LEAD THE WAY INC,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"R & R TRANSPORTATION,I",R & R TRANSPORTATION INC - BUS,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,RATHELL FARM EQUIPMENT,RATHELL FARM EQUIPMENT,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,REGIONAL TRAINING CENT,REGIONAL TRAINING CENTER,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,ROTO-ROOTER,ROTO-ROOTER,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,SALISBURY UNIVERSITY,SALISBURY UNIVERSITY,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"SCH TRANSPORTATION, LL",SCH TRANSPORTATION LLC,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"SCHAUBER, INC.","SCHAUBER, INC.",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,SCHMIDT BAKING CO.,SCHMIDT BAKING CO.,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,SCHOOL SPECIALTY,SCHOOL SPECIALTY,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,SIMMONS CENTER MARKET,SIMMONS CENTER MARKET,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,SOLIANT HEALTH,SOLIANT HEALTH,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,SOUTHSIDE LAND MANAGEM,SOUTHSIDE LAND MANAGEM,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,SPECIALIZED EDUCATION,SPECIALIZED EDUCATION,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,STANDARD LIFE INSURANC,STANDARD LIFE INSURANCE COMPANY,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,STAPLES ADVANTAGE,STAPLES ADVANTAGE,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"STEWART,RUSSELL & MILD","STEWART, RUSSELL & MILDRED - BUS",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,TAI - TALENT ASSESSMEN,TAI - TALENT ASSESSMEN,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,TALBOT CO PUBLIC SCHOO,TALBOT COUNTY PUBLIC SCHOOLS,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,TALBOT CO. PUBLIC SCHO,TALBOT COUNTY PUBLIC SCHOOLS,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,TATE ENGINEERING SYSTE,TATE ENGINEERING SYSTEMS INC,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"TAYLOR,GEORGE/KAREN -","TAYLOR,GEORGE/KAREN -",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,TGM GROUP  LLC,TGM GROUP LLC,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,THE HARBOUR SCHOOL,THE HARBOUR SCHOOL,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,THE JEFFERSON SCHOOL,THE JEFFERSON SCHOOL,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"THOMAS,J T - BUS","THOMAS,J T - BUS",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,TINA THOMPSON,TINA THOMPSON,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"TODD,DEBBIE - BUS","TODD,DEBBIE - BUS",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"TOLLEY,SHIRLEY - BUS","TOLLEY,SHIRLEY - BUS",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,TURF EQUIPMENT AND SUP,TURF EQUIPMENT AND SUP,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,VERIZON,VERIZON,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,VERIZON WIRELESS,VERIZON,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,VITECH CONSULTING LLC,VITECH CONSULTING LLC,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,WASHINGTON GAS ENERGY,WASHINGTON GAS ENERGY,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,WASTE MANAGEMENT,WASTE MANAGEMENT,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,WEBSTER REFRIGERATION,WEBSTER REFRIGERATION,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"WEYER'S FLOOR SERVICE,","WEYER'S FLOOR SERVICE,",NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,WGL ENERGY SERVICES,WGL ENERGY SERVICES INC,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,"WGL ENERGY SYSTEMS, IN",WGL ENERGY SERVICES INC,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,WHITING-TURNER CONTRAC,THE WHITING-TURNER CONTRACTING CO,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,WILL BROWN'S TRUCK REP,WILL BROWN'S TRUCK REPAIR,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,WILSON LANGUAGE TRAINI,WILSON LANGUAGE TRAINING,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,DORCHESTER COUNTY PUBLIC SCHOOLS,XEROX CORPORATION,XEROX CORPORATION,NA,NA,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Sysco Eastern MD,SYSCO EASTERN MD,21851,351908.48,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,AERO Energy,AERO ENERGY,21297,19185.79,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,"Apple, Inc",APPLE INC,30384,107931,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Applied Technology Services,Applied Technology Services,21220,27030.98,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Benedictine School,BENEDICTINE SCHOOL,21660,33904.07,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Business Card (Bank of America),Business Card (Bank of America),19886,190496.63,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,CAREFIRST BLUECROSS/BL,CAREFIRST BLUE CROSS BLUE SHIELD,19178,3754805.23,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,"CBIZ & BSC GROUP, LLC",CBIZ & BSC GROUP LLC,30384,49000,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Choptank Electric,CHOPTANK ELECTRIC COOPERATIVE INC,21629,138859,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Christina  School District,CHRISTINA SCHOOL DISTRICT,19801,100329.9,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,City National Capital Finance,City National Capital Finance,32801,141424.8,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,David Bramble,DAVID A. BRAMBLE INC.,21620,83215.01,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,DE Nicholson Plumbing,DE NICHOLSON PLUMBING,21678,35817.3,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Delmarva Power,DELMARVA POWER,19101,86944.86,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Discovery Education,DISCOVERY EDUCATION,30374,94776.6,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,E & R Services Inc,E & R Services Inc,20706,153951.46,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Educational Facilities Planning LLC,EDUCATIONAL FACILITIES PLANNING LLC,21409,28150.98,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Fair's LLC,Fair's LLC,21851,31640,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,FPC Distribution,FPC DISTRIBUTION,21851,69282.38,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Game Time,GAMETIME,35968,29998.05,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,"HyPoint Farms, Inc",HY-POINT FARMS,19803,72833.48,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,James Schauber,James Schauber,21678,37143.28,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Kaplan,Kaplan,27023,27374.7,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,KCESPA,KCESPA,21620,31166.61,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Kent County Commissioners,KENT COUNTY COMMISSIONERS,21620,140548.19,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,"Kent County Commissioners, SOLAR","Kent County Commissioners, SOLAR",21620,96271.61,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Kent County Health Department,KENT COUNTY HEALTH DEPARTMENT,21620,410856.44,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,MABE Group Insurance Pool,MABE GROUP INSURANCE POOL,21401,103264,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,MABE Workers Comp Self Insurance,MABE WORKERS COMP SELF INSURANCE,21401,96109,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,MAGNUM ELECTRONICS,MAGNUM ELECTRONICS,19901,39613.35,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Miller Flooring,Miller Flooring,19380,26081,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Noelker & Hull Assoc.,NOELKER & HULL ASSOCIATION INC,17201,35218.26,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Office Depot,OFFICE DEPOT,45263,31885.28,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Paradee Gas Co,Paradee Gas Co,19901,46995.14,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,PK Law,PK Law,21661,89940.64,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Power School Group LLC,POWERSCHOOL GROUP LLC,94139,65563.18,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Queen Anne County Health,Queen Anne County Health,21617,29789.99,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Saw Mill Creek Construction & Prop Mgmt,Saw Mill Creek Construction & Prop Mgmt,21678,62225,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Security Benefits Group,SECURITY BENEFITS GROUP,66675,171133.69,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Shorehaven Inc,SHOREHAVEN INC,21921,188648.93,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Soliant Health,SOLIANT HEALTH,60055,42705,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Specialized Education of DE,Specialized Education of DE,08102,63994,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Specialized Education of MD,Specialized Education of MD,08103,385906,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Standard Insurance,STANDARD INSURANCE CO,97228,43021.65,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Talent Assessment Inc,Talent Assessment Inc,32247,26670.6,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Urban Harvest Partnership,Urban Harvest Partnership,19143,29032.5,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,VARIABLE ANNUITY LIFE INS,VARIABLE ANNUITY LIFE INSURANCE,75303,154664.62,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Verizon,VERIZON,8650,35969.03,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Verizon Wireless,VERIZON,18002,150342.36,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Waste Management of De,WASTE MANAGEMENT OF DE,19101,39899.44,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Wells Fargo Vendor Finance,WELLS FARGO VENDOR FINANCE,19176,102554,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,WGL Energy Services,WGL ENERGY SERVICES INC,22182,157271.2,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,Wilfre Co,Wilfre Co,21830,38178,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Kent County Public Schools,XEROX CORPORATION,XEROX CORPORATION,19182,97878.83,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,MARYLAND UNEMPLOYMENT INSURANCE,MARYLAND UNEMPLOYMENT INSURANCE,21203-0084,25062.8,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,SIGNATURE PUBLIC FUNDING CORP.,SIGNATURE PUBLIC FUNDING CORP.,07101-4549,26483.16,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,EDUCATION ASSOCIATES,EDUCATION ASSOCIATES,40223,27816,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,BB&T,BB&T,28258-0060,28522.06,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,TONY WAYNE BOWSER,TONY WAYNE BOWSER,21625,29250,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,HILARY SPENCE,HILARY SPENCE,21601,29276.17,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,"DONALD LEE GOWE, JR.","DONALD LEE GOWE, JR.",21663,29340.74,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,AMERICAN DESIGN ASSOCIATES,AMERICAN DESIGN ASSOCIATES,21234,30158.92,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,APPLE COMPUTER,APPLE INC,30384-1877,30766.45,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,CENTER FOR LIFELONG LEARNING,CENTER FOR LIFELONG LEARNING,07869,30825,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,ENOME INC,ENOME INC,94401,31356.5,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,"WASTE MANAGEMENT OF DELAWARE, INC.",WASTE MANAGEMENT OF DELAWARE INC,19101-3648,31806.63,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,SARAH LOUISE WRIGHT,SARAH LOUISE WRIGHT,21629,31905,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,"CUMBERLAND THERAPY SERVICES, LLC","CUMBERLAND THERAPY SERVICES, LLC",60197,32573.62,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,BELL TECHLOGIX INC,BELL TECHLOGIX INC,19182-3342,32696.71,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,"PROJECT LEAD THE WAY, INC",PROJECT LEAD THE WAY INC,46240,33394.27,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
2018,Talbot County Public Schools,SPURRY'S TIRE SERVICE INC,SPURRY'S TIRE SERVICE INC,21601,34397.83,NA,NA,TALBOT COUNTY PUBLIC SCHOOLS
